Grapheme	IPAInSource	IPA	Frequency
^f	f	v	3
a	a	a	106
r	r	r	26
i	i	i	34
-$	NULL	NULL	17
^m	m	m	12
ɛ	ɛ	e	48
ɾ$	ɾ	r	1
^t	t	t	14
u	u	u	35
ᵐb	ⁿb	ⁿb	25
o$	o	o	8
^n	n	n	36
e	e	e	25
-	+	+	44
l	l	l	38
a$	a	a	50
^h	h	h	2
v	v	v	24
n$	n	n	15
^-	NULL	NULL	72
fʷ	fʷ	vʷ	1
n	n	n	27
e$	e	e	22
t	t	t	31
o	o	o	59
m	m	m	43
t$	t	t	7
ɣ	ɣ	ɣ	32
ⁿd	ⁿd	ⁿd	16
aᵐb	a ⁿb	a ⁿb	8
^ᵐb	ⁿb	ⁿb	9
ŋ	ŋ	ŋ	17
ɪ	ɪ	i	16
vs	v s	v s	1
^mʷ	mʷ	mʷ	2
x$	x	ɣ	4
ⁿdʳ	ⁿdʳ	ⁿdʳ	10
_	+	+	5
b	ⁿb	ⁿb	2
^o	o	o	1
ns	n s	n s	1
ɳ	ɳ	ŋ	5
ɸ$	ɸ	v	2
ⁿt͡s	n ts	n tʃ	1
f	f	v	4
ŋ$	ŋ	ŋ	6
s	s	s	26
^x	x	ɣ	5
rs	r s	r s	2
ᵑg	ⁿg	ⁿg	3
d	d	t	1
r$	r	r	7
h	h	h	1
h$	h	h	1
u$	u	u	3
^a	a	a	12
k$	k	k	1
^ɛ	ɛ	e	1
k	k	k	6
x	x	ɣ	6
ɣs	ɣ s	ɣ s	1
ɔ$	ɔ	o	2
ŋs	ŋ s	ŋ s	2
s$	s	s	13
ɔ	ɔ	o	3
b$	b	ⁿb	3
ms	m s	m s	1
p	p	p	3
ə	ə	ə	4
i$	i	i	3
m$	m	m	4
tʰ$	tʰ	t	1
d$	d	t	1
w	w	w	1
v$	v	v	2
ᵐbʷ	ⁿbʷ	ⁿbʷ	1
l$	l	l	9
p$	p	p	2
z$	z	s	1
^i	i	i	9
^ɳ	ɳ	ŋ	1
^l	l	l	1
^ɣ	ɣ	ɣ	5
^ɬ	ɬ	l	1
ɬ$	ɬ	l	1
β	β	v	1
ʊ	ʊ	u	1
ts	ts	tʃ	1
