Grapheme	IPAInSource	IPA	Frequency
^n	n	n	28
a	a	a	130
-	+	+	65
v	v	v	41
i	i	i	36
ɛ	ɛ	e	26
n$	n	n	31
^t	t	t	3
mʷ	mʷ	mʷ	3
r$	r	r	25
ɣ	ɣ	ɣ		24
o	o	o	39
i$	i	i	32
r	r	r	47
^-	NULL	NULL	52
f	f	v	1
n	n	n	24
m	m	m	28
ɪ	ɪ	i	43
rs	r s	r s	1
e$	e	e	8
æ	æ	a	18
p	p	p	15
ᵑg	ⁿg	ⁿg	4
ə	ə	ə	23
^m	m	m	16
s	s	s	20
v$	v	v	5
^x	x	x	11
x	x	x	14
ⁿdʳ	ⁿdʳ	ⁿdʳ	2
^ᵐb	ⁿb	ⁿb	3
ʊ	ʊ	u	13
^ᵐʙ	ⁿʙ	ⁿʙ	3
u	u	u	37
l	l	l	15
ᵐʙ	ⁿʙ	ⁿʙ	3
l$	l	l	3
^ʧ	tʃ	tʃ	1
^s	s	s	7
x$	x	x	11
ⁿd	ⁿd	ⁿd	1
^ᵐbʷ	ⁿbʷ	ⁿbʷ	3
_$	NULL	NULL	7
ns	n s	n s	1
_ᵐb	+ ⁿb	+ ⁿb	1
ʷ	w	w	1
aᵐb	a ⁿb	a ⁿb	3
ŋ	ŋ	ŋ	15
vʷ	vʷ	vʷ	3
e	e	e	16
^ɳ	ɳ	ŋ	8
ŋ$	ŋ	ŋ	10
u$	u	u	7
ᴩ	ᴩ	ᴩ	4
ɳ	ɳ	ŋ	1
ʉ	ʉ	u	7
^ⁿd	ⁿd	ⁿd	4
^k	k	k	3
ʧ$	tʃ	tʃ	7
ʧ	tʃ	tʃ	16
_	+	+	6
ᵐbʷ	ⁿbʷ	ⁿbʷ	5
š	ʃ	s	1
^p	p	p	3
t	t	t	13
j	tʃ	tʃ	2
m$	m	m	5
s$	s	s	9
^ᵑg	ⁿg	ⁿg	2
k	k	k	9
o$	o	o	7
ms	m s	m s	1
w	w	w	4
t$	t	t	1
^h	h	x	8
$	NULL	NULL	3
^l	l	l	5
^a	a	a	7
^ɣ	ɣ	ɣ	1
^ᴩ	ᴩ	ᴩ	1
^fʷ	fʷ	vʷ	1
ᵐb	ⁿb	ⁿb	6
ɔ	ɔ	o	1
t͡s	tʃ	tʃ	2
t͡s$	ts	tʃ	1
^mʷ	mʷ	mʷ	1
ɪ$	ɪ	i	1
--	+	+	2
^v	v	v	2
a$	a	a	3
ⁿdʳ$	ⁿdʳ	ⁿdʳ	1
b	b	ⁿb	1
k$	k	k	1
^ɛ	ɛ	e	1
^o	o	o	4
