Grapheme	IPAInSource	IPA	Frequency
^v	v	v	7
a	a	a	136
r	r	r	32
n$	n	n	51
^mw	mʷ	mʷ	2
ii	ii	i	4
r$	r	r	22
^b	b	ⁿb	22
o	o	o	51
l	l	l	39
k	k	k	10
^s	s	s	21
ls	l s	l s	1
l$	l	l	25
^a	a	a	26
s	s	s	21
^vw	vʷ	vʷ	4
e	e	e	53
^d	d	ⁿd	13
i$	i	i	12
^l	l	l	26
u	u	u	44
m	m	m	26
m$	m	m	12
^m	m	m	37
t$	t	t	32
t	t	t	38
i	i	i	71
n	n	n	54
aa	aː	a	5
p$	p	p	14
^i	i	i	20
p	p	p	8
^u	u	u	3
d	d	ⁿd	12
uu	uː	u	4
g$	g	ⁿg	10
^bb	ʙ	ⁿʙ	6
^e	e	e	3
bw	bʷ	ⁿbʷ	2
h$	h	h	22
_	+	+	9
v	v	v	12
^r	r	r	12
k$	k	k	15
e$	e	e	12
w	w	w	4
^o	o	o	5
^n	n	n	7
g	g	ⁿg	24
b	b	ⁿb	9
gs	g s	ⁿg s	1
^w	w	w	3
u$	u	u	9
^p	p	p	5
a$	a	a	20
^k	k	k	9
^t	t	t	11
^y	j	j	7
y	j	j	5
bb	ʙ	ⁿʙ	5
h	h	h	3
o$	o	o	4
^g	g	ⁿg	7
^ii	iː	i	1
vs	v s	v s	1
d$	d	ⁿd	1
^bw	bʷ	ⁿbʷ	2
mw	mʷ	mʷ	1
rw	r w	r w	1
ns	n s	n s	1
sw	s w	s w	1
^uu	uː	u	1
^aa	aː	a	2
bb$	ʙ	ⁿʙ	1
ks	k s	k s	1
v|s	v + s	v + s	1
^e$	e	e	1
