ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
1,abvdoceanic-Banoni,n_u006E,n,,,
2,abvdoceanic-Banoni,u_u0075,u,,,
3,abvdoceanic-Banoni,m_u006D,m,,,
4,abvdoceanic-Banoni,a_u0061,a,,,
5,abvdoceanic-Banoni,t_u0074,t,,,
6,abvdoceanic-Banoni,o_u006F,o,,,
7,abvdoceanic-Banoni,r_u0072,r,,,
8,abvdoceanic-Banoni,o_u006Fu02D0,oː,,,
9,abvdoceanic-Banoni,p_u0070,p,,,
10,abvdoceanic-Banoni,i_u0069,i,,,
11,abvdoceanic-Banoni,n_u006Eu02D0,nː,,,
12,abvdoceanic-Banoni,v_u0076,v,,,
13,abvdoceanic-Banoni,d_u0064,d,,,
14,abvdoceanic-Banoni,s_u0073,s,,,
15,abvdoceanic-Banoni,b_u0062,b,,,
16,abvdoceanic-Banoni,e_u0065,e,,,
17,abvdoceanic-Banoni,u_u0075u02D0,uː,,,
18,abvdoceanic-Banoni,g_u0067,g,,,
19,abvdoceanic-Banoni,ts_u0074u0073,ts,,,
20,abvdoceanic-Banoni,k_u006B,k,,,
21,abvdoceanic-Banoni,i_u0069u02D0,iː,,,
22,abvdoceanic-Banoni,gh_u0067u02B1,gʱ,,,
23,abvdoceanic-Banoni,dz_u0064u007A,dz,,,
24,abvdoceanic-Banoni,ng_u014B,ŋ,,,
25,abvdoceanic-Banoni,gh_u0067u02B0,gʰ,,,
26,abvdoceanic-Banoni,e_u0065u02D0,eː,,,
27,abvdoceanic-Banoni,z_u007A,z,,,
28,abvdoceanic-Banoni,a_u0061u02D0,aː,,,
29,abvdoceanic-Banoni,nh_u006Eu02B0,nʰ,,,
30,abvdoceanic-Banoni,h_u0068,h,,,
31,abvdoceanic-Gedaged,n_u006E,n,,,
32,abvdoceanic-Gedaged,u_u0075,u,,,
33,abvdoceanic-Gedaged,m_u006D,m,,,
34,abvdoceanic-Gedaged,a_u0061,a,,,
35,abvdoceanic-Gedaged,t_u0074,t,,,
36,abvdoceanic-Gedaged,o_u006F,o,,,
37,abvdoceanic-Gedaged,p_u0070,p,,,
38,abvdoceanic-Gedaged,i_u0069,i,,,
39,abvdoceanic-Gedaged,d_u0064,d,,,
40,abvdoceanic-Gedaged,s_u0073,s,,,
41,abvdoceanic-Gedaged,b_u0062,b,,,
42,abvdoceanic-Gedaged,e_u0065,e,,,
43,abvdoceanic-Gedaged,u_u0075u02D0,uː,,,
44,abvdoceanic-Gedaged,g_u0067,g,,,
45,abvdoceanic-Gedaged,k_u006B,k,,,
46,abvdoceanic-Gedaged,ng_u014B,ŋ,,,
47,abvdoceanic-Gedaged,z_u007A,z,,,
48,abvdoceanic-Gedaged,a_u0061u02D0,aː,,,
49,abvdoceanic-Gedaged,w_u0077,w,,,
50,abvdoceanic-Gedaged,l_u006C,l,,,
51,abvdoceanic-Gedaged,f_u0066,f,,,
52,abvdoceanic-Gedaged,j_u006A,j,,,
53,abvdoceanic-Gedaged,_u0294,ʔ,,,
54,abvdoceanic-Gedaged,ei_u0065u0069,ei,,,
55,abvdoceanic-Giman,n_u006E,n,,,
56,abvdoceanic-Giman,u_u0075,u,,,
57,abvdoceanic-Giman,m_u006D,m,,,
58,abvdoceanic-Giman,a_u0061,a,,,
59,abvdoceanic-Giman,t_u0074,t,,,
60,abvdoceanic-Giman,o_u006F,o,,,
61,abvdoceanic-Giman,r_u0072,r,,,
62,abvdoceanic-Giman,p_u0070,p,,,
63,abvdoceanic-Giman,i_u0069,i,,,
64,abvdoceanic-Giman,d_u0064,d,,,
65,abvdoceanic-Giman,s_u0073,s,,,
66,abvdoceanic-Giman,b_u0062,b,,,
67,abvdoceanic-Giman,e_u0065,e,,,
68,abvdoceanic-Giman,g_u0067,g,,,
