ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
e_u025Eu02D0,ɞː,long rounded open-mid central vowel,long_rounded_open-mid_central_vowel,ɞː,long rounded open-mid central vowel
b_u03B2u02C0,βˀ,glottalized voiced bilabial fricative consonant,glottalized_voiced_bilabial_fricative_consonant,βˀ,glottalized voiced bilabial fricative consonant
ns_u207Fu0073,ⁿs,pre-nasalized voiceless alveolar sibilant fricative consonant,pre-nasalized_voiceless_alveolar_sibilant_fricative_consonant,ⁿs,pre-nasalized voiceless alveolar sibilant fricative consonant
y_u028F,ʏ,rounded near-close near-front vowel,rounded_near-close_near-front_vowel,ʏ,rounded near-close near-front vowel
e_u0065u02D0,eː,long unrounded close-mid front vowel,long_unrounded_close-mid_front_vowel,eː,long unrounded close-mid front vowel
hp_u02B0u0070,ʰp,pre-aspirated voiceless bilabial stop consonant,pre-aspirated_voiceless_bilabial_stop_consonant,ʰp,pre-aspirated voiceless bilabial stop consonant
xn_u0078u207F,xⁿ,with-nasal-release voiceless velar fricative consonant,with-nasal-release_voiceless_velar_fricative_consonant,xⁿ,with-nasal-release voiceless velar fricative consonant
p_u0070,p,voiceless bilabial stop consonant,voiceless_bilabial_stop_consonant,p,voiceless bilabial stop consonant
n_u006E,n,voiced alveolar nasal consonant,voiced_alveolar_nasal_consonant,n,voiced alveolar nasal consonant
z_u007A,z,voiced alveolar sibilant fricative consonant,voiced_alveolar_sibilant_fricative_consonant,z,voiced alveolar sibilant fricative consonant
o_u00F8,ø,rounded close-mid front vowel,rounded_close-mid_front_vowel,ø,rounded close-mid front vowel
i_u026A,ɪ,unrounded near-close near-front vowel,unrounded_near-close_near-front_vowel,ɪ,unrounded near-close near-front vowel
u_u0289,ʉ,rounded close central vowel,rounded_close_central_vowel,ʉ,rounded close central vowel
nd_u207Fu0064,ⁿd,pre-nasalized voiced alveolar stop consonant,pre-nasalized_voiced_alveolar_stop_consonant,ⁿd,pre-nasalized voiced alveolar stop consonant
n_u006Eu02C0,nˀ,glottalized voiced alveolar nasal consonant,glottalized_voiced_alveolar_nasal_consonant,nˀ,glottalized voiced alveolar nasal consonant
r_u027E,ɾ,voiced alveolar tap consonant,voiced_alveolar_tap_consonant,ɾ,voiced alveolar tap consonant
o_u006Fu02D0,oː,long rounded close-mid back vowel,long_rounded_close-mid_back_vowel,oː,long rounded close-mid back vowel
k_u006Bu02C0,kˀ,glottalized voiceless velar stop consonant,glottalized_voiceless_velar_stop_consonant,kˀ,glottalized voiceless velar stop consonant
m_u006Du0325,m̥,devoiced voiced bilabial nasal consonant,devoiced_voiced_bilabial_nasal_consonant,m̥,devoiced voiced bilabial nasal consonant
j_u025F,ɟ,voiced palatal stop consonant,voiced_palatal_stop_consonant,ɟ,voiced palatal stop consonant
o_u0254u0303,ɔ̃,nasalized rounded open-mid back vowel,nasalized_rounded_open-mid_back_vowel,ɔ̃,nasalized rounded open-mid back vowel
c_u0063,c,voiceless palatal stop consonant,voiceless_palatal_stop_consonant,c,voiceless palatal stop consonant
ng_u207Fu0067,ⁿg,pre-nasalized voiced velar stop consonant,pre-nasalized_voiced_velar_stop_consonant,ⁿg,pre-nasalized voiced velar stop consonant
rw_u0072u02B7,rʷ,labialized voiced alveolar trill consonant,labialized_voiced_alveolar_trill_consonant,rʷ,labialized voiced alveolar trill consonant
s_u0073u02D0,sː,long voiceless alveolar sibilant fricative consonant,long_voiceless_alveolar_sibilant_fricative_consonant,sː,long voiceless alveolar sibilant fricative consonant
t_u0288,ʈ,voiceless retroflex stop consonant,voiceless_retroflex_stop_consonant,ʈ,voiceless retroflex stop consonant
nr_u207Fu0072,ⁿr,pre-nasalized voiced alveolar trill consonant,pre-nasalized_voiced_alveolar_trill_consonant,ⁿr,pre-nasalized voiced alveolar trill consonant
wh_u0077u02B0,wʰ,aspirated voiced labio-velar approximant consonant,aspirated_voiced_labio-velar_approximant_consonant,wʰ,aspirated voiced labio-velar approximant consonant
hm_u02B0u006D,ʰm,pre-aspirated voiced bilabial nasal consonant,pre-aspirated_voiced_bilabial_nasal_consonant,ʰm,pre-aspirated voiced bilabial nasal consonant
