ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Forms,FormsWithSounds,Concepts,Consonants,ConsonantsByQuality,ConsonantSounds,Vowels,VowelsByQuality,VowelSounds,WordLength,SyllableLength,Family
abvdoceanic-Banoni,Banoni,,-6.23061,155.128,bann1247,,253,253,194,20,19,20,10,5,10,5.126482213438735,2.474308300395257,Austronesian
abvdoceanic-Gedaged,Gedaged,,-5.18175,145.781,geda1237,,268,268,192,16,16,16,7,5,8,4.268656716417911,1.75,Austronesian
abvdoceanic-Giman,Gimán,,-0.42618,127.976,gane1237,,238,238,199,19,19,19,5,5,5,4.743697478991597,1.9327731092436975,Austronesian
abvdoceanic-FijianBau,Fijian (Bau),,,,bauu1243,,229,229,210,18,18,18,7,6,7,5.9126637554585155,2.6812227074235806,Austronesian
abvdoceanic-Canala,Canala,,-21.7034,165.996,xara1244,,219,219,193,25,25,25,30,18,30,3.4292237442922375,1.6484018264840183,Austronesian
abvdoceanic-KilokakaYsabel,Kilokaka (Ysabel),,-8.18719,159.255,zaza1245,,193,193,179,22,22,22,6,6,6,5.041450777202073,2.2746113989637307,Austronesian
abvdoceanic-Kis,Kis,,-3.83909,143.96,kiss1246,,122,122,114,23,23,23,6,6,7,4.565573770491803,2.0081967213114753,Austronesian
abvdoceanic-Mor,Mor,,-2.87055,135.95,morm1235,,184,184,176,14,14,14,5,5,5,4.978260869565218,2.483695652173913,Austronesian
abvdoceanic-Mota,Mota,,-13.835361,167.690924,mota1237,,254,254,200,17,17,17,5,5,5,4.7047244094488185,2.0669291338582676,Austronesian
abvdoceanic-Motu,Motu,,-9.67492,147.424,motu1246,,219,219,209,15,15,15,6,6,6,5.178082191780822,2.4292237442922375,Austronesian
abvdoceanic-Kairiru,Kairiru,,-3.34608,143.558,kair1263,,247,247,179,21,20,21,5,5,5,4.125506072874494,1.5384615384615385,Austronesian
abvdoceanic-Bughotu,Bughotu,,-8.47948,159.802,bugh1239,,275,275,207,20,19,20,9,5,9,4.745454545454545,2.2981818181818183,Austronesian
abvdoceanic-Marquesan,Marquesan,,-8.89412,-140.108,nort2845,,390,390,207,19,15,19,11,6,11,4.589743589743589,2.094871794871795,Austronesian
abvdoceanic-Ali,Ali,,-3.28761,142.659,kapp1237,,174,174,167,17,17,17,8,8,8,5.086206896551724,1.9080459770114941,Austronesian
abvdoceanic-AmbaiYapen,Ambai (Yapen),,-1.88126,136.526,amba1265,,197,197,191,17,17,17,7,5,7,5.319796954314721,2.4111675126903553,Austronesian
abvdoceanic-BigaMisool,Biga (Misool),,-1.8801,130.075,matb1237,,186,186,184,22,21,22,7,7,8,4.731182795698925,2.0806451612903225,Austronesian
abvdoceanic-Buli,Buli,,1.0008,128.443,buli1255,,219,219,197,22,21,22,5,5,5,4.219178082191781,1.735159817351598,Austronesian
abvdoceanic-Hawaiian,Hawaiian,,19.6297,-155.43,hawa1245,,242,242,210,9,9,9,6,6,6,4.524793388429752,2.1404958677685952,Austronesian
abvdoceanic-Hoava,Hoava,,-8.19679,157.595,hoav1238,,190,190,181,17,17,17,7,7,7,5.71578947368421,2.663157894736842,Austronesian
abvdoceanic-KaulongAuVillage,Kaulong (Au Village),,-6.08192,149.696,kaul1240,,217,217,191,21,21,21,7,7,7,4.336405529953917,1.705069124423963,Austronesian
abvdoceanic-KayupulauKajupulau,Kayupulau [Kajupulau],,-2.54415,140.626,kayu1243,,202,202,191,27,27,27,10,10,10,5.074257425742574,2.3564356435643563,Austronesian
abvdoceanic-Rarotongan,Rarotongan,,-21.23,-159.78,raro1241,,362,362,209,10,10,10,12,7,12,4.823204419889502,2.1878453038674035,Austronesian
abvdoceanic-Nukuoro,Nukuoro,,3.84,154.975,nuku1260,,247,247,179,19,16,19,10,6,10,4.040485829959514,1.8906882591093117,Austronesian
abvdoceanic-Kusaie,Kusaie,,5.31,162.98,kosr1238,,402,402,199,26,25,26,13,12,13,4.191542288557214,1.592039800995025,Austronesian
abvdoceanic-Kwaio,Kwaio,,-8.93744,160.965,kwai1243,,212,212,205,16,16,16,11,6,11,5.377358490566038,2.5660377358490565,Austronesian
abvdoceanic-LamogaiMulakaino,Lamogai (Mulakaino),,-5.87071,149.321,lamo1244,,218,218,199,21,21,21,6,6,7,4.747706422018348,2.073394495412844,Austronesian
abvdoceanic-Lau,Lau,,-8.51018,160.872,lauu1247,,272,272,204,17,17,17,7,7,7,4.268382352941177,2.0441176470588234,Austronesian
abvdoceanic-Leipon,Leipon,,-1.9665,147.226,leip1237,,179,179,178,28,28,28,7,7,8,5.067039106145251,2.122905027932961,Austronesian
abvdoceanic-Levei,Levei,,-2.06626,146.746,kheh1237,,198,198,188,28,22,28,7,6,7,4.974747474747475,2.186868686868687,Austronesian
abvdoceanic-Likum,Likum,,-2.16157,146.695,liku1243,,186,186,183,29,25,29,8,6,9,5.043010752688172,2.247311827956989,Austronesian
abvdoceanic-Loniu,Loniu,,-2.06124,147.35,loni1238,,213,213,206,20,20,20,6,6,7,5.549295774647887,2.460093896713615,Austronesian
abvdoceanic-Lou,Lou,,-2.38659,147.346,louu1245,,198,198,192,15,15,15,7,5,8,4.656565656565657,1.9141414141414141,Austronesian
abvdoceanic-Nelemwa,Nêlêmwa,,-20.4035,164.193,kuma1276,,229,229,200,28,28,28,10,5,11,3.6724890829694323,1.611353711790393,Austronesian
abvdoceanic-Yapese,Yapese,,9.55811,138.125,yape1248,,260,260,209,26,23,26,14,9,15,4.719230769230769,1.6384615384615384,Austronesian
abvdoceanic-Mussau,Mussau,,-1.44105,149.624,muss1246,,204,204,191,20,14,20,9,5,9,5.9754901960784315,2.823529411764706,Austronesian
abvdoceanic-Maleu,Maleu,,-5.61613,148.445,male1289,,198,198,191,15,14,15,6,6,6,4.94949494949495,2.121212121212121,Austronesian
abvdoceanic-Maori,Maori,,-38.2881,176.541,maor1246,,228,228,210,11,11,11,10,5,10,4.754385964912281,2.1491228070175437,Austronesian
abvdoceanic-Marovo,Marovo,,-8.37943,157.747,maro1244,,220,220,208,22,22,22,7,7,7,5.445454545454545,2.4954545454545456,Austronesian
abvdoceanic-Mekeo,Mekeo,,-8.23853,146.586,meke1243,,213,213,204,13,13,13,5,5,5,4.708920187793427,2.295774647887324,Austronesian
abvdoceanic-Mengen,Mengen,,-5.47036,151.373,meng1267,,214,214,200,27,25,27,9,9,9,5.44392523364486,2.4626168224299065,Austronesian
abvdoceanic-MinyaifuinGebe,Minyaifuin (Gebe),,-0.07877,129.424,gebe1237,,184,184,181,24,24,24,8,8,9,4.668478260869565,1.9076086956521738,Austronesian
abvdoceanic-Misima,Misima,,-10.6821,152.696,misi1243,,188,188,184,19,19,19,6,5,6,6.117021276595745,2.8191489361702127,Austronesian
abvdoceanic-Nauna,Nauna,,-2.21213,148.201,naun1237,,193,193,188,21,21,21,7,7,8,4.7979274611398965,1.9170984455958548,Austronesian
abvdoceanic-Nauru,Nauru,,-0.52957,166.922,naur1243,,229,229,183,22,20,22,10,7,10,5.065502183406114,2.393013100436681,Austronesian
abvdoceanic-NehanHape,Nehan Hape,,-4.56875,154.2,neha1247,,205,205,197,17,17,17,6,5,6,5.014634146341463,1.921951219512195,Austronesian
abvdoceanic-Nengone,Nengone,,-21.5305,167.964,neng1238,,271,271,205,24,23,24,8,8,9,5.033210332103321,2.125461254612546,Austronesian
abvdoceanic-Nggela,Nggela,,-9.04587,160.186,gela1263,,250,250,207,15,15,15,7,6,7,4.76,2.24,Austronesian
abvdoceanic-Nguna,Nguna,,-17.5774,168.375,nort2836,,220,220,196,13,13,13,6,5,6,5.4772727272727275,2.6,Austronesian
abvdoceanic-Numfor,Numfor,,-0.9523,135.879,biak1248,,218,218,197,17,17,17,7,7,7,4.022935779816514,1.5412844036697249,Austronesian
abvdoceanic-PaameseSouth,Paamese (South),,-16.47548,168.23693,paam1238,,199,199,195,12,12,12,10,5,10,4.984924623115578,2.4020100502512562,Austronesian
