Grapheme	IPA	Frequency
^p	p	12
aa	aː	33
ú$	ú/u	27
a	a	134
ú	ú/u	34
-$	NULL	84
e	e	83
sh	sʰ	13
ee$	eː	4
^f	f	25
t	t	48
l	l	79
e$	e	82
^y	y/j	34
n	n	4
^s	s	14
p	p	12
f	f	17
^g	g	28
ii	iː	9
i$	i	53
i	i	84
^t	t	24
g	g	40
u	u	11
r	r	31
u$	u	9
^uu	uː	2
b	b	6
^u	u	4
^sh	sʰ	8
úú$	úú/uː	5
úú	úú/uː	9
aa$	aː	11
s	s	18
^tt	tː	4
^m	m	24
ŋ	ŋ	29
m	m	15
-	+	53
y	y/j	11
^chch	cːʰ	4
^úú	ʔ ú/u ʔ ú/u	4
w	w	24
^ú	ʔ ú/u	10
^b	b	8
oo	oː	6
^ŋ	ŋ	6
ii$	iː	4
^l	l	21
ee	eː	10
^ff	fː	4
^-	NULL	26
^mʷmʷ	mʷː	3
tt	tː	6
^mʷ	mʷ	5
o	o	29
oo$	oː	4
t$	t	1
tt$	tː	1
a$	a	7
^k	k	3
kk	kː	3
^r	r	10
ŋ$	ŋ	1
^w	w	19
óó	óó/oː	4
o$	o	18
^ii	iː	4
mʷ	mʷ	16
^i	i	6
éé	éé/eː	11
éé$	éé/eː	6
^nn	nʰ	2
^n	n	1
nn	nː	3
^kk	kː	4
uu$	uː	3
^bb	bː	3
^pp	pː	1
^h	h	1
ļ$	ļ/l	1
s$	s	1
chch	chch/tsːʰ	2
uu	uː	3
ff	fː	1
ey	ey/ei	1
ó	ó/o	2
ósh	ó/o sʰ	1
p$	p	2
:r	r	1
k	k	2
pw	pʷ	1
