Grapheme	IPA	Frequency
^p	p	17
aa	aː	20
w$	w	19
éw	é/e w	5
ú	ú/u	46
-$	NULL	134
^-	NULL	36
m	m	13
éé	éé/eː	18
ŋ$	ŋ	12
mm	mː	4
e	e	78
k	k	27
i	i	97
n	n	85
_	+	3
mw	mʷ	2
a	a	102
n$	n	70
ch	ch/tsʰ	18
e$	e	9
ee	eː	7
^f	f	28
á	á/a	12
t	t	34
^aa	aː	3
^a	a	19
^pʷ	pʷ	13
r$	r	16
r	r	32
^s	s	29
p$	p	13
^r	r	16
ii	iː	10
i$	i	28
^t	t	18
u	u	39
kk	kː	8
^n	n	28
ŋ	ŋ	20
u$	u	11
s$	s	14
é	é/e	16
^w	w	49
uu	uː	7
pʷ$	pʷ	3
pʷ	pʷ	4
^ch	cʰ	16
úú$	úú/uː	6
úú	úú/uː	26
aa$	aː	1
^y	y/j	1
áá	á/a á/a	14
y	y/j	14
á$	á/a	3
^tt	tː	11
f	f	11
^áá	ʔ á/a ʔ á/a	5
k$	k	13
^e	e	11
^m	m	31
-	+	48
s	s	16
^chch	cːʰ	4
a$	a	15
w	w	19
t$	t	23
^ŋ	ŋ	11
ii$	iː	4
ú$	ú/u	8
ë	ë/ə	1
ëë	ëë/əː	1
o	o	44
g	g	3
o$	o	4
ff	fː	3
^kk	kː	6
ey	ey/ei	7
$	NULL	6
^k	k	24
^mʷmʷ	mʷː	2
^ó	ʔ ó/o	6
tt	tː	6
f$	f	2
^mʷ	mʷ	11
é$	é/e	8
^á	ʔ á/a	10
nn	nː	8
^ŋŋ	ŋː	1
oo	oː	11
üü$	üü	2
^o	o	2
^mm	mː	2
óó	óó/oː	6
ó	ó/o	17
^ii	iː	7
^i	i	13
m$	m	6
mʷ$	mʷ	2
mʷ	mʷ	8
ós$	ó/o s	1
^ós	ʔ ó/o s	1
p	p	6
ch$	ch/tsʰ	17
áá$	á/a á/a	2
^ff	fː	3
ö	ö/œ	3
^ss	sː	1
^pʷpʷ	pʷː	3
pw	pʷ	4
éé$	éé/eː	1
^pp	pː	1
chch	chch/tsːʰ	2
rr	rː	1
^pw	pʷ	2
^éé	ʔ é/e ʔ é/e	2
^é	é/e	3
^nn	nʰ	2
ùù	ùù/uː	1
^ö	ö/œ	1
^ee	eː	4
-_	+	1
^éw	é/e w	1
:r	r	1
éw$	é/e w	1
