Grapheme	IPA	Frequency
^v	v	16
a	a	185
r	r	69
a$	a	77
^s	s	34
^w	w	11
t	t	21
n$	n	12
^a	a	31
e$	e	14
i$	i	46
^r	r	30
a|	a +	4
m	m	16
o	o	38
b	b	20
e	e	29
s$	s	5
i	i	55
u$	u	34
w	w	11
^k	k	27
_	+	1
s	s	25
n	n	51
èw	è/e w	1
e|	e +	1
u	u	42
v	v	11
o$	o	10
p	p	14
^m	m	28
d	d	9
p$	p	4
^d	d	6
^t	t	22
m$	m	7
^n	n	8
r$	r	22
^u	u	4
y	y/j	12
v$	v	2
^e	e	5
^b	b	10
-	+	2
^o	o	3
-$	NULL	1
^y	y/j	4
t$	t	7
^i	i	2
ŋ	ŋ	3
g	g	3
^p	p	4
w$	w	4
k	k	5
u|	u +	1
b$	b	1
^w|	w +	1
^i$	i	1
m|	m +	1
i|	i +	1
^si|	s i	1
$	NULL	1
^e$	e	1
