Grapheme	IPA	Frequency
^m	m	8
i$	i	16
^t	t	33
â	â/a	6
k	k	24
u	u	26
r	r	135
m	m	13
b	b	9
e	e	52
o$	o	9
^gw	gʷ	2
a	a	27
v	v	9
ë$	ë/ə	10
^v	v	11
ê	ê/e	6
-	+	87
e$	e	92
^w	w	8
n	n	21
y	y/j	12
ô	ô/o	4
ô$	ô/o	3
ee	eː	9
^y	y/j	11
w	w	6
ïï	ïï/ɪː	2
^a	a	23
t	t	23
a$	a	15
^k	k	16
o	o	18
î$	î/i	3
^n	n	28
i	i	39
ôô	ôô/oː	4
_	+	38
mw	mʷ	4
üü$	üü	3
^üü$	üü/yː	1
g	g	11
oo$	oː	9
^j	j/dʒ	5
^p	p	11
üü	üü/yː	1
^b	b	12
uu	uː	13
û$	û/u	3
kw	kʷ	5
aa$	aː	9
^û	ʔ û/u	3
û	û/u	14
d	d	3
u$	u	6
ââ	â/a â/a	2
oo	oː	6
^c	c	9
aa	aː	15
x	x	11
^kw	kʷ	9
îî	îî/iː	3
^o	o	2
^d	d	3
î	î/i	5
ee$	eː	8
^mw	mʷ	4
ii	iː	2
ey	ey/ei	2
^x	x	3
^ii	iː	1
^pw	pʷ	2
bw	bʷ	2
^û$	ʔ û/u	1
ââ$	â/a â/a	5
p	p	6
^g	g	3
uu$	uː	4
ê$	ê/e	2
c	c/ts	2
ii$	iː	6
^i	i	1
â$	â/a	6
ôô$	ôô/oː	1
^u	u	1
pw	pʷ	1
ë	ë/ə	2
ü	ü/y	1
^â	â/a	1
j	j/dʒ	2
