Grapheme	IPA	Frequency
^r	r	44
i	i	77
m	m	28
a$	a	127
^m	m	51
a	a	231
u	u	88
i$	i	91
^h	h	52
e	e	69
t	t	68
'u$	ʔ u	10
^k	k	62
o	o	74
u$	u	78
^v	v	10
'e$	ʔ e	4
e$	e	47
r	r	97
^a	a	31
^o	o	11
h	h	68
o$	o	52
^t	t	66
k	k	67
v	v	22
ŋ	ŋ	30
g	g	19
^p	p	41
'a	ʔ a	1
_	+	5
p	p	15
n	n	44
b	b	5
^i	i	13
^n	n	9
^à	ʔ à/a	4
^u	u	8
^û$	ʔ û/u	1
aa$	aː	6
^g	g	5
^àà	ʔ à/a ʔ à/a	1
^aa	aː	3
'a$	ʔ a	4
^b	b	4
î	î/i	1
^î	ʔ î/i	2
î$	î/i	1
'i$	ʔ i	3
^a$	a	1
^ŋ	ŋ	1
ì	ì/i	2
ì$	ì	2
'o$	ʔ o	2
â	â/a	1
á$	á/a	2
'o	ʔ o	2
ô	ô/o	1
'e	ʔ e	2
^'u	ʔ u	3
^û	ʔ û/u	1
^l	l	1
l	l	1
f	f	1
^é	é/e	1
é	é/e	1
^e	e	9
^ee	eː	1
oo$	oː	1
é$	é/e	3
^i$	i	1
-	+	1
ee$	eː	1
^e$	e	1
