Grapheme	IPA	Frequency
^k	k	36
ö	ö/œ	4
rs$	r s	1
^m	m	13
ü	ü/y	4
r$	r	28
^z	z	18
a$	a	28
^n	n	9
i	i	77
k	k	17
n$	n	19
o$	o	7
a	a	90
e$	e	17
^l	l	17
o	o	24
q$	q	2
^b	b	11
ó	ó/o	11
^p	p	20
t	t	10
ó$	ó/o	7
^r	r	9
p	p	13
t$	t	10
m$	m	7
^s	s	24
u	u	91
d	d	7
l$	l	23
^t	t	13
e	e	35
s$	s	6
^g	g	8
v	v	12
^v	v	21
s	s	16
k$	k	21
j	j/dʒ	6
r	r	26
ŋ$	ŋ	6
^ŋ	ŋ	4
ŋ	ŋ	5
p$	p	4
^j	j/dʒ	4
é	é/e	14
^q	q	7
i$	i	3
-	+	5
m	m	8
$	NULL	4
b	b	5
^d	d	7
'a	ʔ a	1
ʔ	ʔ	12
^c	c	5
n	n	10
-$	NULL	3
_	+	12
d$	d	6
l	l	5
u$	u	4
c$	c/ts	8
ʔ$	ʔ	6
z	z	2
g	g	1
b$	b	7
q	q	10
é$	é/e	1
c	c/ts	4
ós	ó/o s	1
^w	w	1
g$	g	1
^a	a	3
u|	u +	1
ɔ	ɔ	3
ts$	ts	1
