Grapheme	IPA	Frequency
^l	l	25
i	i	32
m	m	22
a$	a	56
^h	h	36
e	e	38
^'ā	ʔ ā/a	2
k	k	53
a	a	95
u$	u	44
^w	w	14
āw	ā/a w	1
e$	e	33
l	l	52
^a	a	14
^_	NULL	2
i$	i	41
u	u	40
^'a	ʔ a	4
p	p	7
o$	o	24
^'e	ʔ e	5
h	h	42
^'i	ʔ i	6
^k	k	36
^'ō	ʔ ō/o	2
ū$	ū	5
^i	i	12
w	w	6
^n	n	9
'a	ʔ a	5
^ū$	ū/u	1
^p	p	18
o	o	44
'o	ʔ o	8
^m	m	29
n	n	44
'o$	ʔ o	7
'u$	ʔ u	2
'ī$	ʔ ī/i	1
^u	u	6
ē$	ē/e 	1
'i$	ʔ i	8
'a$	ʔ a	4
^o	o	3
ā	ā/a 	17
_	+	7
'u	ʔ u	2
ā$	ā/a 	9
ī	ī/i	1
^'o	ʔ o	7
āh	ā/a h	3
ū	ū	3
^'u	ʔ u	4
ī$	ī/i	1
'p	ˀp	1
aʻ	a ʔ	1
^'ī	ʔ ī/i	1
^'ēh	ʔ ē/e h	1
'e$	ʔ e	1
ōh	ō/o h	1
ō	ō/o	2
^'ā$	ʔ ā/a	1
'e	ʔ e	1
'i	ʔ i	2
^ā	ā/a	1
ō$	ō/o	1
^āh	ā/a h	1
^i$	i	1
o|	o +	1
ē	ē/e 	3
^a$	a	1
