Grapheme	IPAInSource	IPA	Frequency
^n	n	n	46
a	a	a	194
-	+	+	65
f	f	v	1
r	r	r	50
-$	NULL	NULL	21
^t	t	t	3
i	i	i	30
m	m	m	50
r$	r	r	20
ɣ	ɣ	ɣ	16
v	v	v	34
o$	o	o	7
l	l	l	28
e	e	e	4
^-	NULL	NULL	69
n	n	n	26
n$	n	n	18
^s	s	s	1
l$	l	l	12
i$	i	i	40
s	s	s	24
ɳ	ɳ	ŋ	2
ŋ	ŋ	ŋ	12
ɛ	ɛ	e	18
^m	m	m	8
ʧ	tʃ	tʃ	7
ɸ$	ɸ	v	3
u	u	u	35
ⁿd	ⁿd	ⁿd	4
ᵐb	ⁿb	ⁿb	10
o	o	o	27
b	b	ⁿb	2
t͡s	ts	tʃ	11
ɪ	ɪ	i	38
s$	s	s	8
^ᵐb	ⁿb	ⁿb	4
x$	x	ɣ	10
^ɛⁿdʳ	e ⁿdʳ	e ⁿdʳ	1
ɛ$	ɛ	e	1
^ᵐbʷ	ⁿbʷ	ⁿbʷ	1
^x	x	ɣ	4
β	β	v	2
ᵑg	ⁿg	ⁿg	2
ns	n s	n s	2
ⁿʒ	n tʃ	n tʃ	1
lw	l w	l w	1
u$	u	u	7
p	p	p	15
^ⁿdʳ	ⁿdʳ	ⁿdʳ	1
ə	ə	ə	1
ls	l s	l s	1
t͡s$	ts	tʃ	6
t	t	t	10
ⁿdʳ$	ⁿdʳ	ⁿdʳ	2
b$	b	ⁿb	3
ŋ$	ŋ	ŋ	8
^r	r	r	5
_	+	+	1
a$	a	a	3
ɣs	ɣ s	ɣ s	1
k	k	k	8
ms	m s	m s	4
g	g	ⁿg	4
mʷ	mʷ	mʷ	1
m$	m	m	4
^l	l	l	5
ⁿdʳ	ⁿdʳ	ⁿdʳ	5
mb	ⁿb	ⁿb
aᵐb	a ⁿb	a ⁿb	2
j	j	j	1
^f	f	v	1
e$	e	e	3
^mʷ	mʷ	mʷ	1
ɔ	ɔ	o	1
^k	k	k	1
ᵐbʷ	ⁿbʷ	ⁿbʷ	2
ʊ	ʊ	y	2
p$	p	p	2
uʰ$	u h	u h	2
^ɳ	ɳ	ŋ	17
z	z	s	1
^a	a	a	7
^p	p	p	2
^ⁿd	ⁿd	ⁿd	2
æ	æ	a	1
^ŋ	ŋ	ŋ	1
w	w	w	1
