Grapheme	IPAInSource	IPA	Frequency
^n	n	n	53
-	+	+	69
l	l	l	29
ə	ə	ə	64
β	β	v	12
ɣ	ɣ	ɣ	25
a	a	a	66
n	n	n	23
ɣ$	ɣ	ɣ	19
^h	h	ɣ	1
u	u	u	29
m	m	m	15
e	e	e	56
r$	r	r	12
^ⁿd	ⁿd	ⁿd	5
t$	t	t	10
^-	NULL	NULL	43
ŋ	ŋ	ŋ	10
ŋ$	ŋ	ŋ	9
s	s	s	15
l$	l	l	16
m$	m	m	11
fs	f s	v s	2
f$	f	v	3
^m	m	m	16
œ	œ	ə	9
č$	tʃ	tʃ	2
f	f	v	20
r	r	r	25
x	x	ɣ	9
eᵐb	e ⁿb	e ⁿb	4
^p	p	p	3
aᵐb	a ⁿb	4
č	tʃ	tʃ	11
i	i	i	11
o	o	o	35
p	p	p	2
s$	s	s	16
ᵑg	ⁿg	ⁿg	1
t	t	t	20
^ᵐb	ⁿb	ⁿb	6
^ŋ	ŋ	ŋ	2
tˢ	ts	tʃ	6
n$	n	n	27
^ᵑg	ⁿg	ⁿg	1
mm	mː	m	2
u$	u	u	7
e$	e	e	8
dʳ	ⁿdʳ	ⁿdʳ	1
_	+	+	4
ᵑg$	ⁿg	ⁿg	2
x$	x	ɣ	4
ᵑk	ⁿg	ⁿg	1
$	NULL	NULL	7
tˢ$	ts	tʃ	5
^f	f	v	5
aᵑg	a ⁿg	a ⁿg	2
ᵐb	ⁿb	ⁿb	4
βs	β s	v s	1
ⁿd	ⁿd	ⁿd	2
^l	l	l	2
w	w	w	2
h	h	x	1
o$	o	o	4
d	d	ⁿd	1
β$	β	v	2
^x	x	ɣ	1
ns	n s	n s	2
^w	w	w	2
^ⁿdʳ	ⁿdʳ	ⁿdʳ	2
^u	u	u	1
^t	t	t	5
^s	s	s	3
^iᵐb	i ⁿb	i ⁿb	1
^i	i	i	4
i$	i	i	3
^a	a	a	3
^iᵑg	i ⁿg	i ⁿg	7
ⁿdʳ$	ⁿdʳ	ⁿdʳ	1
ⁿdʳ	ⁿdʳ	ⁿdʳ	1
^β	β	v	1
^r	r	r	1
