Grapheme	IPA	Frequency
^sh	sʰ	8
i	i	24
-$	NULL	31
^h	h	27
m	m	12
a	a	74
u	u	36
^bw	bʷ	5
_	+	2
mw	mʷ	10
aa	aː	30
g	g	13
k$	k	31
^k	k	24
^w	w	8
â	â/a	12
l	l	24
e	e	17
m$	m	6
^d	d	14
n$	n	17
ââ	â/a â/a	3
^oo	oː	1
-	+	11
e$	e	13
^y	y/j	5
h	h	1
a$	a	38
^g	g	2
ee	eː	5
^p	p	13
^c	c	12
îî	îî/iː	2
x	x	23
t$	t	13
c$	c/ts	9
y	y/j	8
u$	u	12
n	n	12
uu	uː	10
^th	tʰ	9
ii	iː	7
^b	b	5
ê	ê/e	1
â$	â/a	4
^n	n	12
i$	i	20
ee$	eː	1
oo	oː	10
ô	ô/o	3
d	d	9
^u	u	3
v	v	13
p$	p	7
^t	t	12
^j	j/dʒ	2
^a	a	7
^fw	fʷ	1
^kh	kʰ	14
w	w	4
o$	o	11
^f	f	5
û	û/u	2
û$	û/u	2
^i	i	2
aa$	aː	4
o	o	11
^m	m	9
bw	bʷ	5
^â	â/a	1
ô$	ô/o	1
^pw	pʷ	5
r	r	14
^mw	mʷ	3
b	b	6
î	î/i	3
^o	o	2
$	NULL	1
oo$	oː	1
l$	l	1
ey	ey/ei	1
^fh	fʰ	1
î$	î/i	3
^aa	aː	1
k	k	1
ââh	â/a â/a h	1
g$	g	1
^e	e	1
f	f	1
^hw	hʷ	1
^i$	i	1
^v	v	1
^r	r	1
^x	x	1
^o$	o	1
^-	NULL	9
