Grapheme	IPA	Frequency
^n	n	12
i	i	40
m	m	25
a	a	91
-$	NULL	5
^ŋ	ŋ	7
s	s	10
i$	i	20
^w	w	12
n	n	24
a$	a	53
^a	a	13
e	e	28
^l	l	14
o$	o	20
w	w	16
^y	y/j	6
u	u	53
_	+	17
o	o	47
m$	m	4
l	l	38
n$	n	11
^p	p	10
^z	z	1
ɡ	g	11
u$	u	27
^m	m	14
d	d	3
ŋ	ŋ	26
^ɡ	g	7
^u	u	4
^d	d	4
e$	e	18
p	p	8
-	+	6
^t	t	22
r	r	10
oo$	oː	2
t	t	29
z	z	14
^s	s	12
ŋ$	ŋ	10
^i	i	9
^ɣ	ɣ	5
y	y/j	4
k$	k	5
^b	b	7
ee	eː	1
^-	NULL	5
b	b	5
^e	e	2
l̥	l̥	3
l$	l	3
^l̥	l̥	3
p$	p	2
ɣ	ɣ	2
g	g	1
^k	k	10
k	k	7
uu	uː	1
ž	ž/ʒ	2
zh	zʰ	1
β	β	2
^g	g	1
lh	lʰ	1
