DOCULECT	CONCEPT	VALUE	COMMENT
Ulithian	meat/flesh	talelee	Pronunciation guide
Ulithian	mosquito	lamb	Pronunciation guide
Ulithian	spider	looaraoora	Pronunciation guide
Ulithian	spider	leemathararaw	Pronunciation guide
Ulithian	fish	yiig	Pronunciation guide
Ulithian	fish	fetah	Pronunciation guide
Ulithian	branch	paththil	Pronunciation guide
Ulithian	leaf	habwee	Pronunciation guide
Ulithian	flower	sowur	Pronunciation guide
Ulithian	flower	nono	Pronunciation guide
Ulithian	flower	flooraes	Pronunciation guide
Ulithian	flower	hacho	Pronunciation guide
Ulithian	fruit	euwaal	Pronunciation guide
Ulithian	grass	fathel	Pronunciation guide
Ulithian	sand	pee	Pronunciation guide
Ulithian	water	cale	Pronunciation guide
Ulithian	sea	teath	Pronunciation guide
Ulithian	sea	lemthou	Pronunciation guide
Ulithian	sky	laang	Pronunciation guide
Ulithian	moon	marhum	Pronunciation guide
Ulithian	star	feis	Pronunciation guide
Ulithian	cloud	tharme	Pronunciation guide
Ulithian	rain	pituck	Pronunciation guide
Ulithian	wind	fillfilldoak	Pronunciation guide
Ulithian	wind	yaal	Pronunciation guide
Ulithian	wind	yaeng	Pronunciation guide
Ulithian	cold	haelefong	Pronunciation guide
Ulithian	cold	foi	Pronunciation guide
Ulithian	wet	loih	Pronunciation guide
Ulithian	heavy	coe	Pronunciation guide
Ulithian	fire	ifa	Pronunciation guide
Ulithian	smoke	burag	Pronunciation guide
Ulithian	smoke	burhough	Pronunciation guide
Ulithian	black	ruechaphung	Pronunciation guide
Ulithian	white	bech	Pronunciation guide
Ulithian	red	checha	Pronunciation guide
Ulithian	yellow	perhangarhang	Pronunciation guide
Ulithian	small	mit de L	Pronunciation guide
Ulithian	small	paehchigchig	Pronunciation guide
Ulithian	small	y-chich	Pronunciation guide
Ulithian	short	machouach	Pronunciation guide
Ulithian	long	liloaw	Pronunciation guide
Ulithian	painful, sick	tamy	Pronunciation guide
Ulithian	old	lowlup	Pronunciation guide
Ulithian	old	baes	Pronunciation guide
Ulithian	good	moemahi	Pronunciation guide
Ulithian	bad, evil	takeoff	Pronunciation guide
Ulithian	bad, evil	tayikkof	Pronunciation guide
Ulithian	bad, evil	hataemrahng	Pronunciation guide
Ulithian	correct, true	catousi	Pronunciation guide
Ulithian	night	boeng	Pronunciation guide
Ulithian	day	rael	Pronunciation guide
Ulithian	day	yawth	Pronunciation guide
Ulithian	when?	ing'ad	Pronunciation guide
Ulithian	when?	ingeead	Pronunciation guide
Ulithian	to climb	thaguew	Pronunciation guide
Ulithian	at	knawl	Pronunciation guide
Ulithian	in, inside	llal	Pronunciation guide
Ulithian	in, inside	lall	Pronunciation guide
Ulithian	in, inside	ilimw	Pronunciation guide
Ulithian	in, inside	elim	Pronunciation guide
Ulithian	in, inside	iloal	Pronunciation guide
Ulithian	in, inside	iloal'	Pronunciation guide
Ulithian	in, inside	l'al	Pronunciation guide
Ulithian	in, inside	long	Pronunciation guide
Ulithian	that	lay	Pronunciation guide
Ulithian	that	laay	Pronunciation guide
Ulithian	near	lepathael	Pronunciation guide
Ulithian	far	thau	Pronunciation guide
Ulithian	where?	ethafall	Pronunciation guide
Ulithian	where?	eyia	Pronunciation guide
Ulithian	where?	iyae	Pronunciation guide
Ulithian	where?	efai	Pronunciation guide
Ulithian	I	nang	Pronunciation guide
Ulithian	he/she	ey	Pronunciation guide
Ulithian	he/she	ye	Pronunciation guide
Ulithian	he/she	yea	Pronunciation guide
Ulithian	we	haamiem	Pronunciation guide
Ulithian	we	sie	Pronunciation guide
Ulithian	you	ha	Pronunciation guide
Ulithian	you	hami	Pronunciation guide
Ulithian	you	gel	Pronunciation guide
Ulithian	they	ear	Pronunciation guide
Ulithian	they	rhe	Pronunciation guide
Ulithian	what?	math	Pronunciation guide
Ulithian	what?	mata	Pronunciation guide
Ulithian	who?	etay	Pronunciation guide
Ulithian	all	me	Pronunciation guide
Ulithian	and	mow	Pronunciation guide
Ulithian	and	moa	Pronunciation guide
Ulithian	no, not	tay	Pronunciation guide
Ulithian	to count	papa	Pronunciation guide
Ulithian	One	si	Pronunciation guide
Ulithian	One	sia	Pronunciation guide
Ulithian	Two	rhu	Pronunciation guide
Ulithian	Three	ceil	Pronunciation guide
Ulithian	Four	fau	Pronunciation guide
Ulithian	Five	lamoa	Pronunciation guide
Ulithian	Six	waal	Pronunciation guide
Ulithian	Seven	faoh	Pronunciation guide
Ulithian	Eight	whal	Pronunciation guide
Ulithian	Nine	thu	Pronunciation guide
Ulithian	Ten	sig	Pronunciation guide
Ulithian	Twenty	reieg	Pronunciation guide
